algo,mask_threshold,nominal,efficiency,purity_all,purity_matched,fake_rate,frag_frac,clusters_per_event,e_clustered_frac,jet_sum_ratio,jet_median_ratio,jets_matched
maskformer,0.02,False,0.708381,0.779815,0.875017,0.108799,0.234112,150.828,0.989002,0.986409,0.993911,2002
maskformer,0.03,False,0.707322,0.78156,0.877617,0.109452,0.238197,150.824,0.980334,0.981641,0.988681,1995
maskformer,0.05,True,0.706006,0.783185,0.8801,0.110118,0.242761,150.82,0.970262,0.975029,0.981732,1989
maskformer,0.1,False,0.704026,0.78568,0.883792,0.111012,0.249631,150.812,0.954919,0.96337,0.968807,1980
clue,,True,0.547485,0.491691,0.881094,0.441954,0.276188,217.828,,0.987552,0.987568,2006
