selection,algo,n_particles,efficiency,eff_low,eff_high,eff_mean,eff_median,pur_all_clusters,pur_matched,pur_median,fake_rate,match_rate,split_rate,split_rate_e,merge_rate,merge_rate_e,frag_frac
all particles,clue,269059,0.31474137642673167,0.31206349442815384,0.31763378060168845,0.3086417129212567,0.04424027788256776,0.2508453764657478,0.569449005056807,0.0,0.5594945741616951,0.5093418172222449,0.30036534737734105,0.30000483165402386,0.16352409483645342,0.15901756325858876,0.30566699291382615
all particles,maskformer,269059,0.3707959964171427,0.367326654476024,0.3745807625898224,0.39408743338612945,0.36139690158299265,0.2736205412642249,0.4966609609682008,0.13235265439264207,0.4490798295665849,0.7708160663646263,0.4189675870348139,0.4729185791963844,0.2340351492354935,0.24808740556564982,0.526111565957005
all particles,maskformer_chained,269059,0.4473293961547467,0.4438447868507206,0.45094676070114753,0.45418174702646885,0.444068802536289,0.21617895508590737,0.37306775465297515,0.10985173076220937,0.420537014015067,0.8107515452001234,0.715861576828874,0.6698605138649887,0.3720049302434308,0.33467746219969613,0.4068849638688913
all particles,oracle_geometric,269059,0.6076957098628926,0.6042024790762498,0.6114367567210798,0.5901335844320733,0.6383899230637295,0.19350402699779604,0.21604484889226389,0.23999144589756383,0.10433399365938326,0.8956660063406168,0.711368138586704,0.6591193753043013,0.6475940221289754,0.6023474405241973,0.30819462441878814
all particles,oracle_resolution,269059,0.9648701585897517,0.9642005320706546,0.9655351570161788,0.9648701585897517,1.0,0.4865556486255946,0.48777575335025636,0.4899309877109848,0.0025013640310768545,0.9648701585897517,0.0,0.0,0.022988726571325377,0.022988726571325377,0.004697854373947721
E > 1 GeV,clue,219153,0.3249191204318444,0.3221264999756942,0.3278446404086154,0.319149596641381,0.10866605770850517,0.2508453764657478,0.5670543067469942,0.0,0.5594945741616951,0.5324544952613015,0.30833253480445166,0.3170250920589725,0.16352409483645342,0.15901756325858876,0.31376787177261967
E > 1 GeV,maskformer,219153,0.36919412465263995,0.3657474620064412,0.3730320328979093,0.3955457599660911,0.3638387404377274,0.2736205412642249,0.5102069383850873,0.13235265439264207,0.4490798295665849,0.782339278951235,0.4195333853517862,0.4824848393588041,0.2340351492354935,0.24808740556564982,0.5274904272152621
E > 1 GeV,maskformer_chained,219153,0.44421933535018915,0.44098376307358217,0.4480092043377314,0.4543413168000722,0.44254138106372887,0.21617895508590737,0.3798710322975151,0.10985173076220937,0.420537014015067,0.8208420601132542,0.7218609829662382,0.6769836598175704,0.3720049302434308,0.33467746219969613,0.41197074247893467
E > 1 GeV,oracle_geometric,219153,0.601105163972202,0.5974591725392728,0.6048662974274754,0.585705951612605,0.629252171319985,0.19350402699779604,0.2161721369779494,0.23999144589756383,0.10433399365938326,0.8980940256350586,0.715413432624696,0.6641843826002838,0.6475940221289754,0.6023474405241973,0.3135185858426976
E > 1 GeV,oracle_resolution,219153,0.9669409042997358,0.9662662699399761,0.9676099212700653,0.9669409042997358,1.0,0.4865556486255946,0.48855635464446834,0.4899309877109848,0.0025013640310768545,0.9669409042997358,0.0,0.0,0.022988726571325377,0.022988726571325377,0.004129535073669993
E > 5 GeV,clue,44204,0.29687358610080533,0.29378909846269596,0.3006719383216257,0.3106509523552263,0.20096178430954983,0.2508453764657478,0.48824817518248176,0.0,0.5594945741616951,0.6198534069314994,0.32999276083612344,0.4106868156727898,0.16352409483645342,0.15901756325858876,0.3561341127860343
E > 5 GeV,maskformer,44204,0.23945796760474164,0.23671591701727102,0.2427657826955089,0.3288835393804249,0.294317517410459,0.2736205412642249,0.4908042602034007,0.13235265439264207,0.4490798295665849,0.8475024884625826,0.39179712243235904,0.5865306307121527,0.2340351492354935,0.24808740556564982,0.6034063484764818
E > 5 GeV,maskformer_chained,44204,0.30976834675594966,0.3066667944870055,0.3134065515011297,0.3824491068528313,0.35335667997078174,0.21617895508590737,0.335826091441244,0.10985173076220937,0.420537014015067,0.877273549904986,0.8053569812686635,0.7972807890688626,0.3720049302434308,0.33467746219969613,0.5125120766132788
E > 5 GeV,oracle_geometric,44204,0.4516559587367659,0.44682901459012764,0.4565039353764024,0.47937834737391777,0.4577037011191416,0.19350402699779604,0.1853554222790286,0.23999144589756383,0.10433399365938326,0.9203691973577052,0.829178354900009,0.7943851235182336,0.6475940221289754,0.6023474405241973,0.43547208608452415
E > 5 GeV,oracle_resolution,44204,0.9621753687449099,0.960794552677418,0.9635300116529708,0.9621753687449099,1.0,0.4865556486255946,0.554053418602464,0.4899309877109848,0.0025013640310768545,0.9621753687449099,0.0,0.0,0.022988726571325377,0.022988726571325377,0.004795946068229119
E > 20 GeV,clue,7677,0.22417611045981503,0.21913494295646002,0.22948084950572675,0.2588581328454004,0.13657755028622987,0.2508453764657478,0.47662788324147787,0.0,0.5594945741616951,0.6381398983978116,0.3703269506317572,0.4914680213625114,0.16352409483645342,0.15901756325858876,0.3900649004665704
E > 20 GeV,maskformer,7677,0.1501888758629673,0.14615651243572203,0.15518070198411837,0.2692912156143681,0.22069730667274615,0.2736205412642249,0.46583005745388567,0.13235265439264207,0.4490798295665849,0.8615344535625895,0.25517780382962096,0.5762667708740393,0.2340351492354935,0.24808740556564982,0.6655144031342731
E > 20 GeV,maskformer_chained,7677,0.19734271199687378,0.1926670403276125,0.202958701812269,0.317979881723594,0.2747197643976907,0.21617895508590737,0.2999563382331538,0.10985173076220937,0.420537014015067,0.8950110720333464,0.7937996613260389,0.8468151621727237,0.3720049302434308,0.33467746219969613,0.5846634215111687
E > 20 GeV,oracle_geometric,7677,0.29529764230819333,0.28958816589598757,0.3015634633359355,0.38400357972222465,0.33677503430427563,0.19350402699779604,0.1813303205761898,0.23999144589756383,0.10433399365938326,0.9223655073596457,0.8406929790282662,0.8567148625765273,0.6475940221289754,0.6023474405241973,0.5314229168882662
E > 20 GeV,oracle_resolution,7677,0.9654813078025271,0.9630381054745253,0.9685160402909047,0.9654813078025271,1.0,0.4865556486255946,0.6368051807879115,0.4899309877109848,0.0025013640310768545,0.9654813078025271,0.0,0.0,0.022988726571325377,0.022988726571325377,0.003647258043506578
isolated (dR > 0.2),clue,29533,0.37480106998950324,0.37147174609374245,0.37794372134041054,0.3691153373674943,0.3418052027197525,0.2508453764657478,0.6891200086220833,0.0,0.5594945741616951,0.6283479497511258,0.2693596993194054,0.31249788372329257,0.16352409483645342,0.15901756325858876,0.4828668607885469
isolated (dR > 0.2),maskformer,29533,0.48948633731757696,0.48579780452101645,0.4938614533867386,0.4751369526719957,0.4889766111077841,0.2736205412642249,0.6119326438157108,0.13235265439264207,0.4490798295665849,0.7922662784004334,0.4028713642366167,0.3811668303253987,0.2340351492354935,0.24808740556564982,0.4720524131278765
isolated (dR > 0.2),maskformer_chained,29533,0.5711576880100226,0.5675613398452252,0.5751761504579169,0.5401430783609937,0.5730836581002869,0.21617895508590737,0.48607666978332453,0.10985173076220937,0.420537014015067,0.8329326516100634,0.5790471675752548,0.5234822063454441,0.3720049302434308,0.33467746219969613,0.3642218858407258
isolated (dR > 0.2),oracle_geometric,29533,0.7788236887549521,0.7757509509747476,0.7820898202201149,0.7235887544476612,0.8359906432756025,0.19350402699779604,0.23393939393939395,0.23999144589756383,0.10433399365938326,0.921850133748688,0.5754241018521654,0.5072969220871567,0.6475940221289754,0.6023474405241973,0.19532182543222648
isolated (dR > 0.2),oracle_resolution,29533,0.9896387092405106,0.9888404350917357,0.9903700192803117,0.9896387092405106,1.0,0.4865556486255946,0.3756115920210764,0.4899309877109848,0.0025013640310768545,0.9896387092405106,0.0,0.0,0.022988726571325377,0.022988726571325377,0.0008126502556462262
jet core (dR < 0.1),clue,185209,0.2867193278944328,0.28363528307284674,0.2899068396753638,0.28155687499016047,0.0,0.2508453764657478,0.5149155118984974,0.0,0.5594945741616951,0.46172162259933375,0.2978041023924323,0.28482957091718003,0.16352409483645342,0.15901756325858876,0.25070786969704334
jet core (dR < 0.1),maskformer,185209,0.32203618614646157,0.3186452163749855,0.3257110195673746,0.36101646009334126,0.31902370525291324,0.2736205412642249,0.44789174958599315,0.13235265439264207,0.4490798295665849,0.7629326868564703,0.41950445172750783,0.5072377692228779,0.2340351492354935,0.24808740556564982,0.5490900437923903
jet core (dR < 0.1),maskformer_chained,185209,0.39700014578125253,0.39391063563029255,0.4005862418123366,0.41939063497516266,0.3954633920629373,0.21617895508590737,0.32490967428817946,0.10985173076220937,0.420537014015067,0.8009977916839894,0.7614424784972652,0.721352634051261,0.3720049302434308,0.33467746219969613,0.4267955987010755
jet core (dR < 0.1),oracle_geometric,185209,0.5448925268210508,0.5409935157963732,0.5491004684320202,0.5424102529065351,0.5525286372531787,0.19350402699779604,0.19704789430222958,0.23999144589756383,0.10433399365938326,0.8892440432160424,0.7583864714997651,0.714306540178933,0.6475940221289754,0.6023474405241973,0.3510891581039155
