stage,particles_per_event,energy_fraction,n_charged_hadron_per_event,n_electron_per_event,n_muon_per_event,n_neutral_hadron_per_event,n_photon_per_event
deposits >= 1 cell,528.6666666666666,1.0,166.40666666666667,183.56333333333333,6.486666666666666,35.92,136.29
pT >= 0.5 GeV,195.50666666666666,0.8780584248809633,104.01,39.06333333333333,1.7866666666666666,19.46,31.186666666666667
|eta| <= 4.0,195.19,0.8778076108804735,103.76,39.06333333333333,1.7866666666666666,19.4,31.18
num calo hits >= 3,186.57333333333332,0.8771711472713473,100.13666666666667,38.736666666666665,1.7833333333333334,15.673333333333334,30.243333333333332
