dataset,figure,panel,algo,x,y,lo,hi
pu0,isolation,pt_soft,clue,0.316228,0.543928,0.539652,0.548198
pu0,isolation,pt_soft,clue,1.58114,0.517671,0.510033,0.525301
pu0,isolation,pt_mid,maskformer,0.01,0.727604,0.719625,0.735443
pu0,isolation,pt_mid,maskformer,0.0316228,0.784872,0.779736,0.789923
pu0,isolation,pt_mid,maskformer,0.0707107,0.829177,0.824115,0.834124
pu0,isolation,pt_mid,maskformer,0.141421,0.868861,0.863128,0.874393
pu0,isolation,pt_mid,maskformer,0.316228,0.904432,0.896056,0.912223
pu0,isolation,pt_mid,maskformer,1.58114,0.944444,0.912735,0.966262
pu0,isolation,pt_mid,clue,0.01,0.416338,0.407623,0.425105
pu0,isolation,pt_mid,clue,0.0316228,0.570789,0.564659,0.576898
pu0,isolation,pt_mid,clue,0.0707107,0.698497,0.692379,0.704545
pu0,isolation,pt_mid,clue,0.141421,0.726042,0.718582,0.733379
pu0,isolation,pt_mid,clue,0.316228,0.768698,0.757066,0.779946
pu0,isolation,pt_mid,clue,1.58114,0.87037,0.829599,0.903348
pu0,isolation,pt_hard,maskformer,0.01,0.690125,0.678948,0.701091
pu0,isolation,pt_hard,maskformer,0.0316228,0.782145,0.770966,0.792937
pu0,isolation,pt_hard,maskformer,0.0707107,0.866928,0.850165,0.882163
pu0,isolation,pt_hard,maskformer,0.141421,0.957627,0.929979,0.97581
pu0,isolation,pt_hard,maskformer,0.316228,0.945205,0.903998,0.971247
pu0,isolation,pt_hard,maskformer,1.58114,0.978723,0.931493,0.996331
pu0,isolation,pt_hard,clue,0.01,0.496999,0.485053,0.508949
pu0,isolation,pt_hard,clue,0.0316228,0.636909,0.624073,0.649557
pu0,isolation,pt_hard,clue,0.0707107,0.780822,0.760979,0.799509
pu0,isolation,pt_hard,clue,0.141421,0.90678,0.871815,0.933803
pu0,isolation,pt_hard,clue,0.316228,0.931507,0.887827,0.960774
pu0,isolation,pt_hard,clue,1.58114,0.957447,0.904061,0.984885
pu0,energy_budget,recovered,maskformer,,0.693258,,
pu0,energy_budget,taken by another cluster,maskformer,,0.236789,,
pu0,energy_budget,never claimed,maskformer,,0.0699533,,
pu0,energy_budget,recovered,clue,,0.575975,,
pu0,energy_budget,taken by another cluster,clue,,0.341821,,
pu0,energy_budget,never claimed,clue,,0.0822034,,
pu0,cluster_size,size,maskformer,0.707107,0.641881,0.639369,0.644933
pu0,cluster_size,size,maskformer,1.41421,0.753963,0.750489,0.757426
pu0,cluster_size,size,maskformer,3.16228,0.736274,0.732645,0.73992
pu0,cluster_size,size,maskformer,7.07107,0.691679,0.685845,0.697908
pu0,cluster_size,size,maskformer,14.1421,0.656249,0.649766,0.664695
pu0,cluster_size,size,maskformer,31.6228,0.615915,0.604375,0.628616
pu0,cluster_size,size,maskformer,100,0.628886,0.601869,0.657707
pu0,cluster_size,size_ratio,maskformer,0.707107,0.882319,0.876814,0.886643
pu0,cluster_size,size_ratio,maskformer,1.41421,0.986454,0.981128,0.991204
pu0,cluster_size,size_ratio,maskformer,3.16228,0.976355,0.971828,0.981106
pu0,cluster_size,size_ratio,maskformer,7.07107,0.959373,0.953719,0.966437
pu0,cluster_size,size_ratio,maskformer,14.1421,0.934794,0.927951,0.944398
pu0,cluster_size,size_ratio,maskformer,31.6228,0.893517,0.881007,0.908103
pu0,cluster_size,size_ratio,maskformer,100,0.911796,0.875531,0.947508
pu0,cluster_size,size,clue,0.707107,0.474692,0.472013,0.477531
pu0,cluster_size,size,clue,1.41421,0.544955,0.541268,0.548808
pu0,cluster_size,size,clue,3.16228,0.562986,0.558381,0.566952
pu0,cluster_size,size,clue,7.07107,0.544827,0.537582,0.551576
pu0,cluster_size,size,clue,14.1421,0.541812,0.532593,0.551229
pu0,cluster_size,size,clue,31.6228,0.616921,0.602553,0.632139
pu0,cluster_size,size,clue,100,0.810798,0.775419,0.841179
pu0,cluster_size,size_ratio,clue,0.707107,0.605524,0.601921,0.609942
pu0,cluster_size,size_ratio,clue,1.41421,0.68652,0.68223,0.691285
pu0,cluster_size,size_ratio,clue,3.16228,0.758175,0.751659,0.762658
pu0,cluster_size,size_ratio,clue,7.07107,0.850461,0.836519,0.862394
pu0,cluster_size,size_ratio,clue,14.1421,1.05821,1.03634,1.07847
pu0,cluster_size,size_ratio,clue,31.6228,1.41678,1.38691,1.45219
pu0,cluster_size,size_ratio,clue,100,1.87446,1.77132,1.9848
pu0,shower_profile,dr,maskformer,0.0025,0.832801,0.824972,0.840231
pu0,shower_profile,dr,maskformer,0.0075,0.814859,0.8091,0.820813
pu0,shower_profile,dr,maskformer,0.015,0.794019,0.788819,0.799572
pu0,shower_profile,dr,maskformer,0.025,0.76012,0.754967,0.765233
pu0,shower_profile,dr,maskformer,0.04,0.715361,0.710247,0.719867
pu0,shower_profile,dr,maskformer,0.065,0.637971,0.631783,0.642785
pu0,shower_profile,dr,maskformer,0.1,0.552413,0.544858,0.558643
pu0,shower_profile,dr,maskformer,0.16,0.426642,0.420124,0.431514
pu0,shower_profile,dr,maskformer,0.275,0.269149,0.264121,0.274112
