selection,algo,n_particles,efficiency,eff_low,eff_high,eff_mean,eff_median,pur_all_clusters,pur_matched,pur_median,fake_rate,match_rate,split_rate,split_rate_e,merge_rate,merge_rate_e,frag_frac
E > 20 GeV,maskformer,7677,0.14094047153836134,0.1364176863207786,0.1461466330091218,0.2560316740274684,0.2050626497352499,0.30962403569944535,0.43962354442494816,0.23026481470643662,0.3601669346533938,0.8165950240979549,0.22665103556076593,0.5134818288393904,0.2761178659825477,0.297194269299561,0.674489810823942
E > 20 GeV,oracle_geometric,7677,0.29529764230819333,0.28958816589598757,0.3015634633359355,0.38400357972222465,0.33677503430427563,0.19350402699779604,0.1813303205761898,0.23999144589756383,0.10433399365938326,0.9223655073596457,0.8406929790282662,0.8567148625765273,0.6475940221289754,0.6023474405241973,0.5314229168882662
E > 20 GeV,oracle_resolution,7677,0.9654813078025271,0.9630381054745253,0.9685160402909047,0.9654813078025271,1.0,0.4865556486255946,0.6368051807879115,0.4899309877109848,0.0025013640310768545,0.9654813078025271,0.0,0.0,0.022988726571325377,0.022988726571325377,0.003647258043506578
isolated (dR > 0.2),clue,29533,0.37480106998950324,0.37147174609374245,0.37794372134041054,0.3691153373674943,0.3418052027197525,0.2508453764657478,0.6891200086220833,0.0,0.5594945741616951,0.6283479497511258,0.2693596993194054,0.31249788372329257,0.16352409483645342,0.15901756325858876,0.4828668607885469
isolated (dR > 0.2),maskformer,29533,0.40019639047844785,0.39611688428318825,0.4039323706649455,0.38588908067904476,0.33722265656088174,0.30962403569944535,0.6173816096835846,0.23026481470643662,0.3601669346533938,0.6377950089730132,0.2600480818067924,0.23969796498831816,0.2761178659825477,0.297194269299561,0.5486434600975394
isolated (dR > 0.2),oracle_geometric,29533,0.7788236887549521,0.7757509509747476,0.7820898202201149,0.7235887544476612,0.8359906432756025,0.19350402699779604,0.23393939393939395,0.23999144589756383,0.10433399365938326,0.921850133748688,0.5754241018521654,0.5072969220871567,0.6475940221289754,0.6023474405241973,0.19532182543222648
isolated (dR > 0.2),oracle_resolution,29533,0.9896387092405106,0.9888404350917357,0.9903700192803117,0.9896387092405106,1.0,0.4865556486255946,0.3756115920210764,0.4899309877109848,0.0025013640310768545,0.9896387092405106,0.0,0.0,0.022988726571325377,0.022988726571325377,0.0008126502556462262
jet core (dR < 0.1),clue,185209,0.2867193278944328,0.28363528307284674,0.2899068396753638,0.28155687499016047,0.0,0.2508453764657478,0.5149155118984974,0.0,0.5594945741616951,0.46172162259933375,0.2978041023924323,0.28482957091718003,0.16352409483645342,0.15901756325858876,0.25070786969704334
jet core (dR < 0.1),maskformer,185209,0.2863467758046315,0.28324221627973967,0.28956566799356565,0.31864580880220694,0.25453779914855457,0.30962403569944535,0.4317860575563974,0.23026481470643662,0.3601669346533938,0.6684826331333791,0.33598799194423595,0.41718814960396094,0.2761178659825477,0.297194269299561,0.5762213048603188
jet core (dR < 0.1),oracle_geometric,185209,0.5448925268210508,0.5409935157963732,0.5491004684320202,0.5424102529065351,0.5525286372531787,0.19350402699779604,0.19704789430222958,0.23999144589756383,0.10433399365938326,0.8892440432160424,0.7583864714997651,0.714306540178933,0.6475940221289754,0.6023474405241973,0.3510891581039155
jet core (dR < 0.1),oracle_resolution,185209,0.9552181589447597,0.9544005280565111,0.9560763611600853,0.9552181589447597,1.0,0.4865556486255946,0.5178419014781109,0.4899309877109848,0.0025013640310768545,0.9552181589447597,0.0,0.0,0.022988726571325377,0.022988726571325377,0.006220000107986113
