stage,particles_per_event,energy_fraction,n_charged_hadron_per_event,n_electron_per_event,n_muon_per_event,n_neutral_hadron_per_event,n_photon_per_event
deposits >= 1 cell,29604.233333333334,1.0,9211.0,8658.083333333334,507.21666666666664,1910.4333333333334,9317.5
pT >= 0.5 GeV,5734.85,0.5489257103423842,3739.9666666666667,445.01666666666665,50.766666666666666,845.0,654.1
|eta| <= 0.88,1707.0,0.05870642545580666,1066.6666666666667,107.78333333333333,20.233333333333334,302.96666666666664,209.35
num calo hits >= 10,1177.6333333333334,0.05366166442376,781.3833333333333,102.55,20.133333333333333,86.25,187.31666666666666
