dataset,figure,panel,algo,x,y,lo,hi
pu200,eff_purity,efficiency,maskformer,0.707107,0.580935,0.580009,0.581861
pu200,eff_purity,efficiency,maskformer,1.41421,0.663393,0.662134,0.66465
pu200,eff_purity,efficiency,maskformer,3.16228,0.661848,0.659478,0.66421
pu200,eff_purity,efficiency,maskformer,7.07107,0.675276,0.668169,0.682304
pu200,eff_purity,efficiency,maskformer,14.1421,0.610551,0.598319,0.622649
pu200,eff_purity,efficiency,maskformer,31.6228,0.571633,0.552094,0.590959
pu200,eff_purity,efficiency,maskformer,100,0.566667,0.522549,0.609826
pu200,eff_purity,purity,maskformer,0.707107,0.815762,0.814877,0.816644
pu200,eff_purity,purity,maskformer,1.41421,0.86688,0.865887,0.867867
pu200,eff_purity,purity,maskformer,3.16228,0.898867,0.897262,0.900449
pu200,eff_purity,purity,maskformer,7.07107,0.864276,0.858827,0.869549
pu200,eff_purity,purity,maskformer,14.1421,0.807453,0.797121,0.817392
pu200,eff_purity,purity,maskformer,31.6228,0.84,0.824624,0.854316
pu200,eff_purity,purity,maskformer,100,0.763514,0.723373,0.799765
pu200,eff_purity,efficiency,clue,0.707107,0.560232,0.5593,0.561163
pu200,eff_purity,efficiency,clue,1.41421,0.646665,0.645391,0.647937
pu200,eff_purity,efficiency,clue,3.16228,0.703136,0.700846,0.705417
pu200,eff_purity,efficiency,clue,7.07107,0.700221,0.693259,0.707093
pu200,eff_purity,efficiency,clue,14.1421,0.633669,0.621565,0.645612
pu200,eff_purity,efficiency,clue,31.6228,0.686246,0.667701,0.704237
pu200,eff_purity,efficiency,clue,100,0.733333,0.692322,0.770961
pu200,eff_purity,purity,clue,0.707107,0.745649,0.744665,0.746631
pu200,eff_purity,purity,clue,1.41421,0.849343,0.848309,0.850372
pu200,eff_purity,purity,clue,3.16228,0.907244,0.905724,0.908743
pu200,eff_purity,purity,clue,7.07107,0.87126,0.865728,0.876601
pu200,eff_purity,purity,clue,14.1421,0.786059,0.77474,0.796971
pu200,eff_purity,purity,clue,31.6228,0.693523,0.674104,0.712305
pu200,eff_purity,purity,clue,100,0.685484,0.638305,0.729399
pu200,response,median,maskformer,0.707107,1.04737,1.04636,1.0483
pu200,response,median,maskformer,1.41421,0.965469,0.9647,0.966224
pu200,response,median,maskformer,3.16228,0.850991,0.848568,0.852955
pu200,response,median,maskformer,7.07107,0.828387,0.823004,0.838955
pu200,response,median,maskformer,14.1421,0.805814,0.794783,0.812691
pu200,response,median,maskformer,31.6228,0.76833,0.752953,0.783771
pu200,response,median,maskformer,100,0.737272,0.714215,0.757388
pu200,response,resolution,maskformer,0.707107,0.306944,0.305576,0.308492
pu200,response,resolution,maskformer,1.41421,0.291359,0.289919,0.29305
pu200,response,resolution,maskformer,3.16228,0.349111,0.346695,0.352335
pu200,response,resolution,maskformer,7.07107,0.392288,0.382228,0.402026
pu200,response,resolution,maskformer,14.1421,0.477347,0.465602,0.491376
pu200,response,resolution,maskformer,31.6228,0.456932,0.43482,0.479252
pu200,response,resolution,maskformer,100,0.435197,0.37228,0.461574
pu200,response,median,clue,0.707107,1.10544,1.10306,1.10784
pu200,response,median,clue,1.41421,0.9397,0.93857,0.941146
pu200,response,median,clue,3.16228,0.844315,0.841664,0.846405
pu200,response,median,clue,7.07107,0.895449,0.889268,0.90234
pu200,response,median,clue,14.1421,0.945447,0.934623,0.957953
pu200,response,median,clue,31.6228,1.07545,1.04448,1.13195
pu200,response,median,clue,100,1.25228,1.18605,1.29555
pu200,response,resolution,clue,0.707107,0.462631,0.460556,0.464263
pu200,response,resolution,clue,1.41421,0.451428,0.44912,0.453571
pu200,response,resolution,clue,3.16228,0.417972,0.415999,0.421183
pu200,response,resolution,clue,7.07107,0.40845,0.399945,0.41879
pu200,response,resolution,clue,14.1421,0.616328,0.582956,0.64148
pu200,response,resolution,clue,31.6228,0.671884,0.623521,0.7119
