dataset,figure,panel,algo,x,y,lo,hi
pu200,response,resolution,clue,100,0.57042,0.488807,0.701511
pu200,particle_class,efficiency,maskformer,0,0.703473,0.702228,0.704715
pu200,particle_class,fragmentation,maskformer,0,0.271165,0.270448,0.272122
pu200,particle_class,efficiency,maskformer,1,0.579727,0.578814,0.580639
pu200,particle_class,fragmentation,maskformer,1,0.40792,0.407452,0.408419
pu200,particle_class,efficiency,maskformer,2,0.550196,0.547611,0.552778
pu200,particle_class,fragmentation,maskformer,2,0.431325,0.430125,0.432498
pu200,particle_class,efficiency,clue,0,0.835318,0.834306,0.836326
pu200,particle_class,fragmentation,clue,0,0.0634499,0.063076,0.063778
pu200,particle_class,efficiency,clue,1,0.496896,0.495971,0.49782
pu200,particle_class,fragmentation,clue,1,0.443922,0.443391,0.444425
pu200,particle_class,efficiency,clue,2,0.621733,0.619211,0.624249
pu200,particle_class,fragmentation,clue,2,0.378593,0.3774,0.379708
pu200,isolation,pt_soft,maskformer,0.01,0.597512,0.595106,0.599913
pu200,isolation,pt_soft,maskformer,0.0316228,0.609659,0.608446,0.610871
pu200,isolation,pt_soft,maskformer,0.0707107,0.616044,0.614885,0.617202
pu200,isolation,pt_soft,maskformer,0.141421,0.615208,0.612501,0.617908
pu200,isolation,pt_soft,maskformer,0.316228,0.593496,0.559813,0.626371
pu200,isolation,pt_soft,clue,0.01,0.566229,0.563798,0.568656
pu200,isolation,pt_soft,clue,0.0316228,0.582593,0.581367,0.583819
pu200,isolation,pt_soft,clue,0.0707107,0.59927,0.598102,0.600436
pu200,isolation,pt_soft,clue,0.141421,0.626503,0.623812,0.629188
pu200,isolation,pt_soft,clue,0.316228,0.723577,0.692115,0.753097
pu200,isolation,pt_mid,maskformer,0.01,0.643887,0.637384,0.650337
pu200,isolation,pt_mid,maskformer,0.0316228,0.664692,0.661126,0.66824
pu200,isolation,pt_mid,maskformer,0.0707107,0.668052,0.66433,0.671753
pu200,isolation,pt_mid,maskformer,0.141421,0.66769,0.658762,0.676502
pu200,isolation,pt_mid,maskformer,0.316228,0.62963,0.514911,0.733124
pu200,isolation,pt_mid,clue,0.01,0.651895,0.645424,0.658312
pu200,isolation,pt_mid,clue,0.0316228,0.711628,0.708202,0.71503
pu200,isolation,pt_mid,clue,0.0707107,0.722806,0.719263,0.726322
pu200,isolation,pt_mid,clue,0.141421,0.740703,0.732354,0.748884
pu200,isolation,pt_mid,clue,0.316228,0.666667,0.552438,0.766407
pu200,isolation,pt_hard,maskformer,0.01,0.576993,0.561606,0.592236
pu200,isolation,pt_hard,maskformer,0.0316228,0.645161,0.628181,0.661795
pu200,isolation,pt_hard,maskformer,0.0707107,0.675824,0.637444,0.712127
pu200,isolation,pt_hard,clue,0.01,0.60779,0.592549,0.62283
pu200,isolation,pt_hard,clue,0.0316228,0.732719,0.716851,0.74803
pu200,isolation,pt_hard,clue,0.0707107,0.851648,0.820468,0.878576
pu200,energy_budget,recovered,maskformer,,0.619642,,
pu200,energy_budget,taken by another cluster,maskformer,,0.157754,,
pu200,energy_budget,never claimed,maskformer,,0.222604,,
pu200,energy_budget,recovered,clue,,0.64396,,
pu200,energy_budget,taken by another cluster,clue,,0.206206,,
pu200,energy_budget,never claimed,clue,,0.149834,,
pu200,cluster_size,size,maskformer,0.707107,0.597308,0.596401,0.597962
pu200,cluster_size,size,maskformer,1.41421,0.678622,0.677587,0.679518
pu200,cluster_size,size,maskformer,3.16228,0.655943,0.654494,0.657242
pu200,cluster_size,size,maskformer,7.07107,0.627698,0.622322,0.633175
pu200,cluster_size,size,maskformer,14.1421,0.569848,0.562239,0.578462
pu200,cluster_size,size,maskformer,31.6228,0.518036,0.508208,0.529026
pu200,cluster_size,size,maskformer,100,0.468495,0.442258,0.491212
pu200,cluster_size,size_ratio,maskformer,0.707107,0.857747,0.855802,0.859595
pu200,cluster_size,size_ratio,maskformer,1.41421,0.905954,0.904712,0.90734
pu200,cluster_size,size_ratio,maskformer,3.16228,0.852786,0.850334,0.854771
pu200,cluster_size,size_ratio,maskformer,7.07107,0.846882,0.838395,0.853301
pu200,cluster_size,size_ratio,maskformer,14.1421,0.820806,0.809518,0.832006
pu200,cluster_size,size_ratio,maskformer,31.6228,0.755538,0.741788,0.772228
pu200,cluster_size,size_ratio,maskformer,100,0.662013,0.633376,0.690522
pu200,cluster_size,size,clue,0.707107,0.516221,0.515342,0.517029
pu200,cluster_size,size,clue,1.41421,0.584754,0.583821,0.585735
pu200,cluster_size,size,clue,3.16228,0.630566,0.628915,0.632451
pu200,cluster_size,size,clue,7.07107,0.640536,0.6337,0.648203
pu200,cluster_size,size,clue,14.1421,0.614943,0.605349,0.626426
pu200,cluster_size,size,clue,31.6228,0.636585,0.6175,0.659543
pu200,cluster_size,size,clue,100,0.770681,0.747051,0.790959
pu200,cluster_size,size_ratio,clue,0.707107,0.879489,0.877441,0.881469
pu200,cluster_size,size_ratio,clue,1.41421,0.876688,0.874868,0.878844
pu200,cluster_size,size_ratio,clue,3.16228,0.884838,0.881801,0.887939
pu200,cluster_size,size_ratio,clue,7.07107,0.968128,0.957169,0.9797
pu200,cluster_size,size_ratio,clue,14.1421,1.07243,1.04758,1.09712
pu200,cluster_size,size_ratio,clue,31.6228,1.30147,1.26315,1.3472
pu200,cluster_size,size_ratio,clue,100,1.61326,1.50614,1.70855
pu200,shower_profile,dr,maskformer,0.0025,0.808009,0.806191,0.809631
pu200,shower_profile,dr,maskformer,0.0075,0.771732,0.770383,0.773259
pu200,shower_profile,dr,maskformer,0.015,0.725961,0.72435,0.727423
pu200,shower_profile,dr,maskformer,0.025,0.648297,0.647012,0.649516
pu200,shower_profile,dr,maskformer,0.04,0.537714,0.536405,0.538923
pu200,shower_profile,dr,maskformer,0.065,0.38774,0.386376,0.389118
pu200,shower_profile,dr,maskformer,0.1,0.245397,0.243681,0.247015
pu200,shower_profile,dr,maskformer,0.16,0.139308,0.137557,0.14108
pu200,shower_profile,dr,maskformer,0.275,0.0829229,0.0805514,0.0853786
pu200,shower_profile,dr,clue,0.0025,0.85193,0.849178,0.854826
pu200,shower_profile,dr,clue,0.0075,0.81994,0.817832,0.821938
pu200,shower_profile,dr,clue,0.015,0.758526,0.756687,0.760187
pu200,shower_profile,dr,clue,0.025,0.65393,0.652461,0.655437
pu200,shower_profile,dr,clue,0.04,0.501436,0.500176,0.502547
pu200,shower_profile,dr,clue,0.065,0.348504,0.347096,0.349863
pu200,shower_profile,dr,clue,0.1,0.266831,0.265239,0.268036
pu200,shower_profile,dr,clue,0.16,0.217298,0.214558,0.219593
pu200,shower_profile,dr,clue,0.275,0.166642,0.163575,0.169361
pu200,shower_profile,depth,maskformer,0.5,0.379168,0.377248,0.380861
pu200,shower_profile,depth,maskformer,1.5,0.454329,0.452841,0.456071
pu200,shower_profile,depth,maskformer,2.5,0.50681,0.505102,0.508722
pu200,shower_profile,depth,maskformer,3.5,0.555007,0.553164,0.556522
pu200,shower_profile,depth,maskformer,5,0.598135,0.596715,0.599453
pu200,shower_profile,depth,maskformer,7,0.637518,0.636451,0.639018
pu200,shower_profile,depth,maskformer,10,0.663159,0.661863,0.664577
pu200,shower_profile,depth,maskformer,14,0.682914,0.681305,0.684387
pu200,shower_profile,depth,maskformer,20,0.690405,0.688802,0.692109
pu200,shower_profile,depth,maskformer,30,0.689485,0.687592,0.691241
pu200,shower_profile,depth,maskformer,42,0.662864,0.660887,0.664957
pu200,shower_profile,depth,clue,0.5,0.547481,0.545679,0.54939
pu200,shower_profile,depth,clue,1.5,0.627814,0.625815,0.62944
pu200,shower_profile,depth,clue,2.5,0.673138,0.671144,0.674675
pu200,shower_profile,depth,clue,3.5,0.6997,0.697787,0.701528
pu200,shower_profile,depth,clue,5,0.717879,0.71607,0.719818
pu200,shower_profile,depth,clue,7,0.719879,0.718248,0.721944
pu200,shower_profile,depth,clue,10,0.701989,0.700168,0.70419
pu200,shower_profile,depth,clue,14,0.671727,0.66989,0.673883
pu200,shower_profile,depth,clue,20,0.625776,0.624005,0.627769
pu200,shower_profile,depth,clue,30,0.567673,0.566083,0.569495
pu200,shower_profile,depth,clue,42,0.514035,0.51179,0.516286
pu200,jets,efficiency,maskformer,29.5804,0.56901,0.559977,0.577997
pu200,jets,efficiency,maskformer,41.833,0.892,0.885054,0.898586
pu200,jets,efficiency,maskformer,61.2372,0.985203,0.979638,0.989399
pu200,jets,efficiency,maskformer,90.8295,0.997143,0.990604,0.999507
pu200,jets,efficiency,maskformer,132.665,1,0.985495,1
pu200,jets,efficiency,maskformer,200,1,0.96708,1
pu200,jets,efficiency,maskformer,316.228,1,0.867951,1
pu200,jets,median,maskformer,29.5804,0.970024,0.965147,0.975005
pu200,jets,median,maskformer,41.833,0.899648,0.897104,0.902062
pu200,jets,median,maskformer,61.2372,0.915824,0.91141,0.919089
pu200,jets,median,maskformer,90.8295,0.922103,0.920562,0.926946
pu200,jets,median,maskformer,132.665,0.933529,0.929158,0.936845
pu200,jets,median,maskformer,200,0.948129,0.941348,0.951458
pu200,jets,median,maskformer,316.228,0.969153,0.9637,0.976272
pu200,jets,resolution,maskformer,29.5804,0.123445,0.118171,0.127449
pu200,jets,resolution,maskformer,41.833,0.116837,0.11364,0.120429
pu200,jets,resolution,maskformer,61.2372,0.0808169,0.0762288,0.0850705
pu200,jets,resolution,maskformer,90.8295,0.0528378,0.0484276,0.0555448
pu200,jets,resolution,maskformer,132.665,0.0519922,0.04616,0.0552603
pu200,jets,resolution,maskformer,200,0.0292577,0.0258519,0.0359829
pu200,jets,resolution,maskformer,316.228,0.0132319,0.00958715,0.0162648
pu200,jets,efficiency,clue,29.5804,0.838658,0.831813,0.845282
pu200,jets,efficiency,clue,41.833,0.943556,0.93826,0.948438
pu200,jets,efficiency,clue,61.2372,0.991369,0.986751,0.994546
pu200,jets,efficiency,clue,90.8295,0.997143,0.990604,0.999507
pu200,jets,efficiency,clue,132.665,1,0.985495,1
pu200,jets,efficiency,clue,200,1,0.96708,1
pu200,jets,efficiency,clue,316.228,1,0.867951,1
pu200,jets,median,clue,29.5804,1.16749,1.16243,1.17027
pu200,jets,median,clue,41.833,1.10806,1.10611,1.11189
pu200,jets,median,clue,61.2372,1.08282,1.07867,1.08612
pu200,jets,median,clue,90.8295,1.05616,1.05423,1.05908
pu200,jets,median,clue,132.665,1.04122,1.03909,1.04547
pu200,jets,median,clue,200,1.0297,1.02736,1.03355
pu200,jets,median,clue,316.228,1.02547,1.02038,1.02614
pu200,jets,resolution,clue,29.5804,0.142941,0.138409,0.146123
pu200,jets,resolution,clue,41.833,0.113523,0.110509,0.117186
pu200,jets,resolution,clue,61.2372,0.0743635,0.0706265,0.0771013
pu200,jets,resolution,clue,90.8295,0.0460655,0.043881,0.0489009
pu200,jets,resolution,clue,132.665,0.0335724,0.0294517,0.037351
pu200,jets,resolution,clue,200,0.0229469,0.0170003,0.0285508
pu200,jets,resolution,clue,316.228,0.023081,0.00687773,0.0298156
