selection,algo,n_particles,efficiency,eff_low,eff_high,eff_mean,eff_median,pur_all_clusters,pur_matched,pur_median,fake_rate,match_rate,split_rate,split_rate_e,merge_rate,merge_rate_e,frag_frac
E > 20 GeV,clue,1118,0.3041144901610018,0.2875844823747681,0.3184214587936223,0.31137960735159226,0.14804905769254917,0.2674788993178849,0.44630404463040446,0.0,0.5754831314774886,0.6413237924865832,0.4937388193202147,0.49016100178890876,0.13244735850720188,0.1268509686675911,0.2741137808554802
E > 20 GeV,maskformer,1118,0.11538461538461539,0.1056945046344324,0.1248197619428361,0.25272716029159514,0.22307064304469126,0.356165197831317,0.45317545748116256,0.2357239044454806,0.4126379281756721,0.830948121645796,0.2898032200357782,0.6270125223613596,0.23811400915401967,0.22065066746756518,0.6868526897595427
E > 20 GeV,maskformer_chained,1118,0.15831842576028624,0.14739540443733481,0.16878337740911903,0.29302932195266657,0.2686044806402058,0.2664541365677953,0.3406022845275182,0.1969401665968263,0.3769896018762716,0.8613595706618963,0.8694096601073346,0.8792486583184258,0.3470852195640317,0.3131231600451757,0.6114515687036581
E > 20 GeV,oracle_geometric,1118,0.26475849731663686,0.25104303722349064,0.2781645313059034,0.3682907494688523,0.333750028899498,0.24675905170573417,0.30623818525519847,0.30026608003634603,0.06317781051193373,0.9463327370304114,0.8542039355992844,0.8872987477638641,0.5905811024294436,0.5373035950642586,0.578421553787253
E > 20 GeV,oracle_resolution,1118,0.9928443649373881,0.9905211841716688,0.9952556301365658,0.9928443649373881,1.0,0.42429795393315695,0.7585585585585586,0.44150634160756663,0.0003964305073501452,0.9928443649373881,0.0,0.0,0.008578540434563346,0.008578540434563346,0.0008944543828264759
isolated (dR > 0.2),clue,110,0.6272727272727273,0.580952380952381,0.6726328056426333,0.5784324241759554,0.6674402240117407,0.2674788993178849,0.7411764705882353,0.0,0.5754831314774886,0.7727272727272727,0.2818181818181818,0.24545454545454545,0.13244735850720188,0.1268509686675911,0.3560568296916766
isolated (dR > 0.2),maskformer,110,0.6090909090909091,0.5673076923076923,0.6547702815768303,0.5355661199489075,0.6444691250459793,0.356165197831317,0.6179775280898876,0.2357239044454806,0.4126379281756721,0.8090909090909091,0.35454545454545455,0.32727272727272727,0.23811400915401967,0.22065066746756518,0.4390894621268331
isolated (dR > 0.2),maskformer_chained,110,0.6727272727272727,0.6272727272727273,0.7142857142857143,0.6099862820088019,0.7174273080749045,0.2664541365677953,0.46153846153846156,0.1969401665968263,0.3769896018762716,0.8272727272727273,0.41818181818181815,0.4,0.3470852195640317,0.3131231600451757,0.3056513481663311
isolated (dR > 0.2),oracle_geometric,110,0.8727272727272727,0.841417953762912,0.9042430086956522,0.840338441436625,0.9939369216759975,0.24675905170573417,0.2830188679245283,0.30026608003634603,0.06317781051193373,0.9636363636363636,0.37272727272727274,0.3,0.5905811024294436,0.5373035950642586,0.12295974058318566
isolated (dR > 0.2),oracle_resolution,110,1.0,1.0,1.0,1.0,1.0,0.42429795393315695,0.32727272727272727,0.44150634160756663,0.0003964305073501452,1.0,0.0,0.0,0.008578540434563346,0.008578540434563346,0.0
jet core (dR < 0.1),clue,730006,0.5224861165524667,0.5209695936716732,0.5243124965563801,0.49423401587920046,0.5351716296778677,0.2674788993178849,0.6297094193247329,0.0,0.5754831314774886,0.7045353051892724,0.2346665643844023,0.24624181171113663,0.13244735850720188,0.1268509686675911,0.33071338689205415
jet core (dR < 0.1),maskformer,730006,0.5075519927233475,0.5056437921047867,0.5098784918645501,0.4744026705253752,0.5086359773041454,0.356165197831317,0.6049295967440205,0.2357239044454806,0.4126379281756721,0.750562324145281,0.3674627331830149,0.3462464692071024,0.23811400915401967,0.22065066746756518,0.43412075879860734
jet core (dR < 0.1),maskformer_chained,730006,0.5991758971844067,0.5973428744980664,0.6013668082356668,0.5576348311019469,0.6223225557922507,0.2664541365677953,0.4264284263819623,0.1969401665968263,0.3769896018762716,0.7960126355125848,0.5356339536935313,0.4845453325041164,0.3470852195640317,0.3131231600451757,0.2838854186210386
jet core (dR < 0.1),oracle_geometric,730006,0.7968071495302779,0.7953594500565916,0.7986738330297556,0.7362643637238305,0.8449085862765973,0.24675905170573417,0.26334163056736115,0.30026608003634603,0.06317781051193373,0.936652575458284,0.5763760845801268,0.5122259269101898,0.5905811024294436,0.5373035950642586,0.20129294993055297
jet core (dR < 0.1),oracle_resolution,730006,0.9888658449382608,0.9886212622954094,0.9891600971246636,0.9888658449382608,1.0,0.42429795393315695,0.42551650001800856,0.44150634160756663,0.0003964305073501452,0.9888658449382608,0.0,0.0,0.008578540434563346,0.008578540434563346,0.0011164291800341366
