pt_lo,pt_hi,n,median_dr_min,frac_isolated_dr_gt_0.2,eff_all,eff_isolated
0.5,1,285173,0.0494605,0.000497943,0.580935,0.577465
1,2,141854,0.0492374,0.000733148,0.663393,0.615385
2,5,40399,0.0464419,0.00064358,0.661848,0.615385
5,10,4530,0.0302995,0.000220751,0.675276,1
10,20,1687,0.0188317,0,0.610551,
20,50,698,0.0142055,0,0.571633,
50,200,150,0.010112,0,0.566667,
